,Latitude,Longitude
5295691,40.756217676,-73.82977027
5295791,40.684620437,-73.85153272
5295854,40.641893023,-73.914098468
5295898,40.820515058000005,-73.853111908
5295936,40.591529634000004,-73.941693408
5296094,40.85022983,-73.82951883300001
5296107,40.796424133,-73.962165528
5296122,40.842979335,-73.914579729
5296126,40.676187104,-73.848371734
5296137,40.872845399,-73.898794425
5296194,40.777786693,-73.796417498
5296221,40.878656783000004,-73.82407596
5296258,40.684732399999994,-73.963555766
5296265,40.755359577,-73.969642365
5296313,40.882854569,-73.84807398699999
5296352,40.675296575,-73.877276015
5296442,40.776070692,-73.95152229
5296492,40.689137039,-73.931789287
5296586,40.641077338,-73.90312756
5296588,40.693667261,-73.94451783
5296619,40.628557804,-73.99348075
5296624,40.72537021,-73.75298412
5296630,40.844161853,-73.820845666
5296654,40.720785606,-73.738920678
5296658,40.799645073,-73.94510492100001
5296662,40.680412175,-73.768170772
5296711,40.652890618,-73.964784071
5296824,40.758451779,-73.81543074
5296835,40.749115702,-73.93687086199999
5297003,40.668546676,-73.94366637600001
5297142,40.690060324,-73.949825134
5297185,40.6863435,-73.943060004
5297210,40.673931056,-73.89533980899999
5297211,40.59192739,-73.953168226
5297270,40.773487466,-73.782378798
5297291,40.829640499,-73.915211145
5297320,40.878075016,-73.825957883
5297408,40.716272499,-73.749727935
5297418,40.583512918000004,-74.103790542
5297434,40.749046211,-73.903851187
5297503,40.723415079,-73.750043848
5297505,40.673931056,-73.89533980899999
5297617,40.747460991,-73.868936157
5297647,40.655498992,-73.91795169699999
5297666,40.739247915,-73.865881409
5297871,40.735623085,-74.007586265
5297917,40.683227603,-73.804760987
5297989,40.603676746,-73.944470168
5297998,40.883776851,-73.90783692800001
5298090,40.659218138,-73.935085327
5298128,40.845221751,-73.91835382100001
5298158,40.695573941999996,-73.745878449
5298217,40.688361844,-73.925476281
5298303,40.565415846,-74.101347368
5298495,40.593875259,-73.966125856
5298698,40.602083315,-73.936379676
5298781,40.735617023,-73.79838301
5298800,40.611232664,-73.76695233699999
5298821,40.798260641999995,-73.942866762
5298909,40.652105473,-73.964341211
5298952,40.839176305,-73.908892563
5298959,40.633772314,-73.905051291
5298981,40.860716975,-73.899250317
5299034,40.630031489000004,-73.902163666
5299185,40.593656257,-73.77590386
5299245,40.736001212,-73.88388306
5299299,40.636783353,-73.986713444
5299300,40.83469937,-73.942495779
5299308,40.832266063,-73.90009200899999
5299397,40.655639713,-73.91153990699999
5299455,40.688103055999996,-73.99313598399999
5299769,40.777896796,-73.98401700699999
5299947,40.722137745,-73.859526685
5300015,40.739396246,-73.92708276
5300019,40.734210512,-73.894112123
5300061,40.703946244,-73.92077019199999
5300088,40.627954213,-74.024758231
5300107,40.746720708000005,-73.782415705
5300148,40.805436606,-73.939920299
5300169,40.745410898,-73.99284136899999
5300210,40.845700146,-73.937191243
5300218,40.880891683,-73.897483937
5300308,40.702807999,-73.870279044
5300411,40.599769924,-73.739887218
5300447,40.853016226,-73.910301433
5300477,40.767221648,-73.925749052
5300481,40.801953958,-73.952572586
5300530,40.779970974,-73.978791705
5300562,40.6676304,-73.890890675
5300600,40.83111635,-73.930411516
5300613,40.659866435,-73.738272441
5300631,40.710391939000004,-73.777167035
5301191,40.65388611,-73.954497844
5301254,40.634837755,-74.008457521
5301287,40.62900726,-74.014174135
5301340,40.699162124000004,-73.92078309
5301461,40.755582096,-73.915142985
5301813,40.74976716,-73.749858352
5301848,40.718571296,-73.94057940100001
5301869,40.767615592,-73.908661935
5301875,40.58949626,-73.98880033100001
5301879,40.754311511,-73.78034077
5301884,40.637240778,-73.922042003
5301890,40.629238259,-74.010020353
5301903,40.653247201,-73.956109234
5301955,40.886936175,-73.85249861
5301961,40.706684573000004,-73.942241916
5301978,40.696208500000004,-73.89328534
5302156,40.639737517,-73.912969839
5302158,40.769612294,-73.815659747
5302223,40.733801091,-73.87453421800001
5302276,40.713136350999996,-73.85190928
5302277,40.773738875,-73.73829787300001
5302300,40.798847456,-73.953878662
5302304,40.733801091,-73.87453421800001
5302342,40.733801091,-73.87453421800001
5302409,40.733801091,-73.87453421800001
5302439,40.629161989,-74.148512513
5302549,40.729236322,-73.866987578
5302822,40.723588965,-73.982305535
5302829,40.638881198,-73.943940035
5302944,40.717208618,-73.853299898
5303009,40.718494877,-73.852488997
5303018,40.834823614,-73.902690079
5303271,40.622667599,-73.99602092800001
5303487,40.682420166,-73.918495455
5303502,40.677356895,-74.01154899
5303557,40.684927269,-73.916238866
5303641,40.712635082,-73.85486824899999
5303662,40.717208618,-73.853299898
5303702,40.840307643,-73.88769093
5303736,40.601354435,-73.94403276199999
5303745,40.744615139000004,-74.000842314
5303751,40.67697711,-73.910866273
5303781,40.683275861999995,-73.8455541
5303797,40.771665759,-73.98085946100001
5303821,40.637624716,-73.945249009
5303904,40.679897009,-73.966511203
5303955,40.836288335,-73.927489736
5304010,40.693995232,-73.94168314
5304064,40.697594245,-73.932757948
5304069,40.693531935,-73.93266828600001
5304071,40.833937544,-73.929797847
5304123,40.802960428,-73.965672707
5304181,40.676921496,-73.909943415
